,Product_1_x,neiss_trend,neiss_count,Product Type_x,Product_Name,product_1,clear_trend,clear_count,Product Type_y,Product_1_y,overall_trend,neiss_size,clear_size,overall_size,agreement,Confidence,min_trend,Threat Status
0,110,0.14676616915422888,201,Electric Heating Pads (110),110 - ELECTRIC HEATING PADS,Electric Heating Pads (110),0.3484848484848485,33,Electric Heating Pads (110),110,0.2476255088195387,0.3880597014925373,0.417910447761194,0.40298507462686567,True,Moderate,0.14676616915422888,Emerging
1,112,-0.3048780487804878,164,Sewing Machines or Accessories (112),112 - SEWING MACHINES OR ACCESSORIES,Sewing Machines or Accessories (112),-0.16666666666666663,3,Sewing Machines or Accessories (112),112,-0.23577235772357721,0.3283582089552239,0.04477611940298507,0.1865671641791045,True,Moderate,-0.3048780487804878,Emerging
2,255,-0.03125,32,Clothes Steamers (255),255 - CLOTHES STEAMERS,Clothes Steamers (255),-0.5517241379310345,29,Clothes Steamers (255),255,-0.29148706896551724,0.1417910447761194,0.26119402985074625,0.2014925373134328,True,Moderate,-0.5517241379310345,Emerging
3,275,0.06310679611650485,206,Food Processors (275),275 - FOOD PROCESSORS,Food Processors (275),-0.36,50,Food Processors (275),275,-0.14844660194174758,0.417910447761194,0.6343283582089553,0.5261194029850746,False,Low,-0.36,Established
4,334,-0.6470588235294117,34,"Gas-burning Fireplaces, Factory Built (334)","334 - GAS-BURNING FIREPLACES, FACTORY BUILT","Gas-burning Fireplaces, Factory Built (334)",-0.2560975609756097,41,"Gas-burning Fireplaces, Factory Built (334)",334,-0.4515781922525107,0.16417910447761194,0.5298507462686567,0.34701492537313433,True,Moderate,-0.6470588235294117,Emerging
5,365,0.4,30,Heat Pumps (365),365 - HEAT PUMPS,Heat Pumps (365),0.10714285714285718,140,Heat Pumps (365),365,0.2535714285714286,0.11940298507462686,0.8805970149253731,0.5,True,Moderate,0.10714285714285718,Established
6,391,0.08823529411764702,51,Portable Gas or Lp Heaters (391),391 - PORTABLE GAS OR LP HEATERS,Portable Gas or Lp Heaters (391),0.3110236220472441,127,Portable Gas or Lp Heaters (391),391,0.19962945808244556,0.208955223880597,0.8582089552238806,0.5335820895522388,True,Moderate,0.08823529411764702,Established
7,412,0.040669856459330134,209,Pressure Cookers or Canners (412),412 - PRESSURE COOKERS OR CANNERS,Pressure Cookers or Canners (412),-0.4277108433734939,83,Pressure Cookers or Canners (412),412,-0.1935204934570819,0.4626865671641791,0.8059701492537313,0.6343283582089552,False,Low,-0.4277108433734939,Established
8,452,-0.07692307692307693,208,"Coffee Makers or Teapots, Not Specified (452)","452 - COFFEE MAKERS OR TEAPOTS, NOT SPECIFIED","Coffee Makers or Teapots, Not Specified (452)",-0.43103448275862066,29,"Coffee Makers or Teapots, Not Specified (452)",452,-0.2539787798408488,0.44029850746268656,0.26119402985074625,0.35074626865671643,True,Moderate,-0.43103448275862066,Emerging
9,465,0.31773399014778325,203,Other Cookware (465),465 - OTHER COOKWARE,Other Cookware (465),0.8844827586206897,580,Other Cookware (465),465,0.6011083743842365,0.40298507462686567,0.9701492537313433,0.6865671641791045,True,High,0.31773399014778325,Established
10,469,0.005205751115518187,2017,Slicers and Choppers (469),469 - SLICERS AND CHOPPERS,Slicers and Choppers (469),-1.382051282051282,390,Slicers and Choppers (469),469,-0.688422765467882,0.8208955223880597,0.9253731343283582,0.8731343283582089,False,Low,-1.382051282051282,Established
11,474,-0.059399180700955845,4394,"Tableware & Accessories (excluding drinking glass,cups,mugs) (474)",474 - TABLEWARE AND ACCESSORIES,"Tableware & Accessories (excluding drinking glass,cups,mugs) (474)",0.3913043478260869,46,"Tableware & Accessories (excluding drinking glass,cups,mugs) (474)",474,0.16595258356256554,0.9104477611940298,0.5970149253731343,0.753731343283582,False,Low,-0.059399180700955845,Established
12,478,-0.06474762135139495,6201,"Drinking Glasses, cups, and mugs (478)","478 - DRINKING GLASSES, CUPS, AND MUGS","Drinking Glasses, cups, and mugs (478)",0.33653846153846145,104,"Drinking Glasses, cups, and mugs (478)",478,0.13589542009353325,0.9552238805970149,0.8208955223880597,0.8880597014925373,False,Low,-0.06474762135139495,Established
13,565,-0.3125,32,"Musical Instruments, Electric or Battery Operated (565)","565 - MUSICAL INSTRUMENTS, ELECTRIC OR BATTERY OPERATED","Musical Instruments, Electric or Battery Operated (565)",0.0,2,"Musical Instruments, Electric or Battery Operated (565)",565,-0.15625,0.1417910447761194,0.022388059701492536,0.08208955223880597,True,Moderate,-0.3125,Emerging
14,569,-0.1601307189542483,459,Art or Ceramics Supplies and Equipment (Excl. Paintbrushes) (569),569 - ART OR CERAMICS SUPPLIES AND EQUIPMENT (EXCL. PAINTBRUSHES),Art or Ceramics Supplies and Equipment (Excl. Paintbrushes) (569),0.5384615384615385,26,Art or Ceramics Supplies and Equipment (Excl. Paintbrushes) (569),569,0.18916540975364513,0.6268656716417911,0.15671641791044777,0.3917910447761194,False,Low,-0.1601307189542483,Emerging
15,571,0.1,120,Business and Office Machines (571),571 - BUSINESS AND OFFICE MACHINES,Business and Office Machines (571),-0.3035714285714285,56,Business and Office Machines (571),571,-0.10178571428571424,0.26865671641791045,0.7014925373134329,0.48507462686567165,False,Low,-0.3035714285714285,Emerging
16,612,-0.041600000000000026,1250,"Runners, Throw Rugs or Doormats (612)","612 - RUNNERS, THROW RUGS OR DOORMATS","Runners, Throw Rugs or Doormats (612)",0.33870967741935487,31,"Runners, Throw Rugs or Doormats (612)",612,0.14855483870967742,0.7164179104477612,0.31343283582089554,0.5149253731343284,False,Low,-0.041600000000000026,Established
17,620,0.007266435986159198,1445,Step Stools (620),620 - STEP STOOLS,Step Stools (620),0.44000000000000006,50,Step Stools (620),620,0.2236332179930796,0.746268656716418,0.6343283582089553,0.6902985074626866,True,Moderate,0.007266435986159198,Established
18,667,0.23571428571428577,140,"Bedspreads, Throws or Comforters (667)","667 - BEDSPREADS, THROWS OR COMFORTERS","Bedspreads, Throws or Comforters (667)",0.5,53,"Bedspreads, Throws or Comforters (667)",667,0.3678571428571429,0.29850746268656714,0.6791044776119403,0.4888059701492537,True,High,0.23571428571428577,Emerging
19,701,0.07575757575757575,165,Fire Extinguishers (701),701 - FIRE EXTINGUISHERS,Fire Extinguishers (701),-0.4230769230769231,26,Fire Extinguishers (701),701,-0.17365967365967366,0.34328358208955223,0.15671641791044777,0.25,False,Low,-0.4230769230769231,Emerging
20,714,0.0,2,Combination Fire/Smoke Alarm and Carbon Monoxide Detector (714),714 - COMBINATION FIRE/SMOKE ALARM AND CARBON MONOXIDE DETECTORS,Combination Fire/Smoke Alarm and Carbon Monoxide Detector (714),0.3414634146341463,82,Combination Fire/Smoke Alarm and Carbon Monoxide Detector (714),714,0.17073170731707316,0.014925373134328358,0.7910447761194029,0.40298507462686567,False,Low,0.0,Emerging
21,809,0.05769230769230771,208,Other Portable or Stationary Power Tools (809),809 - OTHER PORTABLE OR STATIONARY POWER TOOLS,Other Portable or Stationary Power Tools (809),0.5526315789473685,38,Other Portable or Stationary Power Tools (809),809,0.3051619433198381,0.44029850746268656,0.4925373134328358,0.46641791044776115,True,Moderate,0.05769230769230771,Emerging
22,814,-0.5902654867256637,565,"Hoists, Lifts, Jacks or Jack Stands (814)","814 - HOISTS, LIFTS, JACKS OR JACK STANDS","Hoists, Lifts, Jacks or Jack Stands (814)",-0.23809523809523808,42,"Hoists, Lifts, Jacks or Jack Stands (814)",814,-0.41418036241045086,0.6417910447761194,0.5522388059701493,0.5970149253731343,True,Moderate,-0.5902654867256637,Established
23,823,0.05244755244755239,143,Air Compressors (Separate) (823),823 - AIR COMPRESSORS (SEPARATE),Air Compressors (Separate) (823),0.3529411764705882,34,Air Compressors (Separate) (823),823,0.2026943644590703,0.31343283582089554,0.44029850746268656,0.3768656716417911,True,Moderate,0.05244755244755239,Emerging
24,884,0.007864028411973645,1971,Batteries (884),884 - BATTERIES,Batteries (884),0.4573170731707318,492,Batteries (884),884,0.2325905507913527,0.8059701492537313,0.9552238805970149,0.8805970149253731,True,Moderate,0.007864028411973645,Established
25,893,0.09474590869939703,2322,"Tools, Not Specified (893)","893 - TOOLS, NOT SPECIFIED","Tools, Not Specified (893)",0.4677419354838709,31,"Tools, Not Specified (893)",893,0.28124392209163396,0.8507462686567164,0.31343283582089554,0.582089552238806,True,Moderate,0.09474590869939703,Established
